Name,Cmpg,Eng
Dodge Challenger 5.7L,16,5.7
Dodge Challenger FFV 3.6L,18,3.6
Dodge Challenger SRT8 6.4L,14,6.4
Dodge Charger 5.7L,16,5.7
Dodge Charger Awd 5.7L,15,5.7
Dodge Charger FFV 3.6L,18,3.6
Ford Crown Victoria FFV 4.6L,16,4.6
Ford Fiesta Fwd 1.6L,29,1.6
Ford Fiesta SFE Fwd 1.6L,29,1.6
Ford Focus Fwd 2L,25,2.0
Ford Fusion Awd 3.5L,17,3.5
Ford Fusion Awd FFV 3L,18,3.0
Ford Fusion Fwd 2.5L,23,2.5
Ford Fusion Fwd 3.5L,18,3.5
Ford Fusion Fwd FFV 3L,20,3.0
Ford Mustang 3.7L,19,3.7
Ford Mustang 5L,18,5.0
Ford Mustang Convertible 3.7L,19,3.7
Ford Taurus Awd 3.5L,17,3.5
Ford Taurus Fwd 3.5L,18,3.5
Honda Accord 2DR Coupe 2.4L,22,2.4
Honda Accord 2DR Coupe 3.5L,19,3.5
Honda Accord 4DR Sedan 2.4L,23,2.4
Honda Accord 4DR Sedan 3.5L,20,3.5
Honda Civic 1.8L,25,1.8
Hyundai Accent 1.6L,27,1.6
Hyundai Azera 3.3L,20,3.3
Hyundai Azera 3.8L,19,3.8
Hyundai Elantra 1.8L,29,1.8
Hyundai Elantra Touring 2L,23,2.0
Hyundai Equus 4.6L,16,4.6
Hyundai Genesis 3.8L,18,3.8
Hyundai Genesis 4.6L,17,4.6
Hyundai Genesis Coupe 2L,20,2.0
Hyundai Genesis Coupe 3.8L,17,3.8
Hyundai Sonata 2.4L,22,2.4
Hyundai Sonata 2L,22,2.0
Infiniti EX35 3.5L,17,3.5
Infiniti EX35 Awd 3.5L,17,3.5
Infiniti G25 2.5L,20,2.5
Infiniti G25x 2.5L,19,2.5
Infiniti G37 Convertible 3.7L,17,3.7
Infiniti G37 Coupe 3.7L,19,3.7
Infiniti G37x Coupe 3.7L,18,3.7
Infiniti M37 3.7L,18,3.7
Infiniti M37X 3.7L,17,3.7
Infiniti M56 5.6L,16,5.6
Infiniti M56X 5.6L,16,5.6
Jaguar XF 5L,16,5.0
Jaguar XJ 5L,15,5.0
Jaguar XJ Long wheelbase 5L,15,5.0
Jaguar XJ Short wheelbase 5L,16,5.0
Jaguar XK 5L,16,5.0
Jaguar XK Convertible 5L,16,5.0
Kia Forte Koup 2.4L,23,2.4
Kia Forte Koup 2L,25,2.0
Kia Optima 2.4L,24,2.4
Kia Optima 2L,22,2.0
Kia Rio 1.6L,27,1.6
Kia Rondo 2.4L,20,2.4
Kia Rondo 2.7L,18,2.7
Kia SOUL 1.6L,26,1.6
Kia SOUL 2L,24,2.0
Lexus ES 350 3.5L,19,3.5
Lexus GS 350 3.5L,19,3.5
Lexus GS 350 Awd 3.5L,18,3.5
Lexus GS 460 4.6L,17,4.6
Lexus IS 250 250C 2.5L,21,2.5
Lexus IS 250 Awd 2.5L,20,2.5
Lexus IS 350 350C 3.5L,20,3.5
Lexus IS 350 Awd 3.5L,18,3.5
Lexus IS F 5L,16,5.0
Lexus LS 460 4.6L,16,4.6
Lexus LS 460 Awd 4.6L,16,4.6
Lexus LS 460 L 4.6L,16,4.6
Lexus LS 460 L Awd 4.6L,16,4.6
Lincoln-Mercury Grand Marquis FFV 4.6L,16,4.6
Lincoln-Mercury Milan Awd FFV 3L,18,3.0
Lincoln-Mercury Milan Fwd 2.5L,23,2.5
Lincoln-Mercury Milan Fwd FFV 3L,20,3.0
Lincoln-Mercury MKS Awd 3.5L,17,3.5
Lincoln-Mercury MKS Awd 3.7L,16,3.7
Lincoln-Mercury MKS Fwd 3.5L,17,3.5
Lincoln-Mercury MKZ Awd 3.5L,17,3.5
Lincoln-Mercury MKZ Fwd 3.5L,18,3.5
Lincoln-Mercury Town Car FFV 4.6L,16,4.6
Maserati Granturismo 4.2L,13,4.2
Maserati Granturismo 4.7L,13,4.7
Maserati Granturismo Convertible 4.7L,12,4.7
Maserati Quattroporte 4.2L,12,4.2
Maserati Quattroporte 4.7L,12,4.7
Mazda 2 1.5L,27,1.5
Mazda 3 2.5L,22,2.5
Mazda 3 2L,24,2.0
Mazda 6 2.5L,22,2.5
Mazda 6 3.7L,18,3.7
Mercedes C 300 3L,18,3.0
Mercedes C 300 4matic 3.5L,17,3.5
Mercedes C 300 4matic FFV 3L,18,3.0
Mercedes C 300 FFV 3L,18,3.0
Mercedes C 350 3.5L,17,3.5
Mercedes C 63 AMG 6.2L,13,6.2
Mercedes CLS 550 4.7L,14,4.7
Mercedes CLS 63 AMG 6.3L,12,6.3
Mercedes E 350 3.5L,17,3.5
Mercedes E 350 4matic 3.5L,17,3.5
Mercedes E 350 4matic Wagon 3.5L,16,3.5
Mercedes E 350 Convertible 3.5L,17,3.5
Mercedes E 350 Coupe 3.5L,17,3.5
Mercedes E 550 4.7L,15,4.7
Mercedes E 550 4matic 5.5L,15,5.5
Mercedes E 550 Convertible 5.5L,15,5.5
Mercedes E 550 Coupe 5.5L,15,5.5
Mercedes E 63 AMG 6.2L,13,6.2
Mercedes G 550 5.5L,11,5.5
Mercedes GL 450 4matic 4.7L,13,4.7
Mercedes GL 550 4matic 5.5L,12,5.5
Mercedes GLK 350 3.5L,16,3.5
Mercedes GLK 350 4matic 3.5L,16,3.5
Mercedes ML 350 3.5L,16,3.5
Mercedes ML 350 4matic 3.5L,15,3.5
Mercedes ML 550 4matic 5.5L,13,5.5
Mercedes ML 63 AMG 6.3L,11,6.3
Mercedes R 350 4matic 3.5L,15,3.5
Mercedes S 550 4matic 5.5L,14,5.5
Mercedes S 550 5.5L,15,5.5
Mini Cooper 1.6L,28,1.6
Mini Cooper Countryman 1.6L,25,1.6
Mini Cooper S 1.6L,26,1.6
Mini Cooper S Clubman 1.6L,26,1.6
Mini Cooper S Convertible 1.6L,26,1.6
Mini Cooper S Countryman 1.6L,25,1.6
Mini Cooper S Countryman All4 1.6L,23,1.6
Mini Mini Clubman 1.6L,27,1.6
Mini Mini Convertible 1.6L,27,1.6
Mitsubishi Eclipse 2.4L,20,2.4
Mitsubishi Eclipse 3.8L,17,3.8
Mitsubishi Eclipse Spyder 2.4L,20,2.4
Mitsubishi Eclipse Spyder 3.8L,16,3.8
Mitsubishi Galant 2.4L,21,2.4
Mitsubishi Lancer 2.4L,23,2.4
Mitsubishi Lancer Turbo 2L,17,2.0
Mitsubishi Lancer 2L,25,2.0
Mitsubishi Lancer Evolution 2L,17,2.0
Mitsubishi Lancer Sportback Turbo 2L,17,2.0
Mitsubishi Lancer Sportback 2L,25,2.0
Nissan 370Z 3.7L,19,3.7
Nissan 370Z Roadster 3.7L,18,3.7
Nissan Altima 2.5L,23,2.5
Nissan Altima 3.5L,20,3.5
Nissan Altima Coupe 2.5L,23,2.5
Nissan Altima Coupe 3.5L,20,3.5
Nissan Cube 1.8L,27,1.8
Nissan GT-R 3.8L,15,3.8
Nissan Juke 1.6L,27,1.6
Nissan Juke Awd 1.6L,25,1.6
Nissan Maxima 3.5L,19,3.5
Nissan Sentra 2.5L,24,2.5
Nissan Sentra 2L,27,2.0
Nissan Versa 1.6L,25,1.6
Nissan Versa 1.8L,24,1.8
Porsche 911 Carrera 3.6L,19,3.6
Porsche 911 Carrera 4 3.6L,18,3.6
Porsche 911 Carrera 4 Cabriolet 3.6L,18,3.6
Porsche 911 Carrera 4 Targa 3.6L,18,3.6
Porsche 911 Carrera 4S 3.8L,18,3.8
Porsche 911 Carrera 4S Cabriolet 3.8L,18,3.8
Porsche 911 Carrera 4S Targa 3.8L,18,3.8
Porsche 911 Carrera Cabriolet 3.6L,19,3.6
Porsche 911 Carrera S 3.8L,19,3.8
Porsche 911 Carrera S Cabriolet 3.8L,19,3.8
Porsche 911 GTS 3.8L,19,3.8
Porsche 911 GTS Cabriolet 3.8L,19,3.8
Porsche 911 Turbo Cabriolet 3.8L,16,3.8
Porsche 911 Turbo Coupe 3.8L,17,3.8
Porsche 911 Turbo S Cabriolet 3.8L,16,3.8
Porsche 911 Turbo S Coupe 3.8L,17,3.8
Porsche Panamera 3.6L,18,3.6
Porsche Panamera 4 3.6L,18,3.6
Porsche Panamera 4S 4.8L,16,4.8
Porsche Panamera S 4.8L,16,4.8
Porsche Panamera Turbo 4.8L,15,4.8
Rolls-Royce Ghost 6.6L,13,6.6
Rolls-Royce Phantom 6.7L,11,6.7
Rolls-Royce Phantom Coupe 6.7L,11,6.7
Rolls-Royce Phantom Drophead Coupe 6.7L,11,6.7
Rolls-Royce Phantom EWB 6.7L,11,6.7
Saab 9-3 Sedan Awd 2L,17,2.0
Saab 9-3 Sport Sedan 2L,19,2.0
Scion tC 2.5L,23,2.5
Scion xB 2.4L,22,2.4
Scion xD 1.8L,27,1.8
Subaru Forester Awd 2.5L,21,2.5
Subaru Impreza Awd 2.5L,20,2.5
Subaru Impreza Outback Sport Awd 2.5L,20,2.5
Subaru Legacy Awd 2.5L,23,2.5
Subaru Legacy Awd 3.6L,18,3.6
Subaru Outback Awd Wagon 2.5L,22,2.5
Subaru Outback Awd Wagon 3.6L,18,3.6
Subaru Tribeca Awd 3.6L,16,3.6
Suzuki Kizashi 2.4L,23,2.4
Suzuki Kizashi Awd 2.4L,22,2.4
Suzuki Kizashi S 2.4L,23,2.4
Suzuki Kizashi S Awd 2.4L,23,2.4
Suzuki Swift + 1.6L,25,1.6
Suzuki SX4 2L,23,2.0
Suzuki SX4 Awd 2L,23,2.0
Suzuki SX4 Sedan 2L,25,2.0
Suzuki SX4 Sport Anniversary Edition 2L,23,2.0
Toyota Avalon 3.5L,20,3.5
Toyota Camry 2.5L,22,2.5
Toyota Camry 3.5L,20,3.5
Toyota Corolla 1.8L,26,1.8
Toyota Corolla 2.4L,22,2.4
Toyota Corolla Matrix 1.8L,25,1.8
Toyota Corolla Matrix 2.4L,21,2.4
Toyota Yaris 1.5L,29,1.5
Volkswagen CC 2L,22,2.0
Volkswagen CC 4motion 3.6L,17,3.6
Volkswagen Eos 2L,22,2.0
Volkswagen Golf 2.5L,24,2.5
Volkswagen GTI 2L,24,2.0
Volkswagen Jetta 2.5L,24,2.5
Volkswagen Jetta 2L,23,2.0
Volkswagen Jetta Sportwagen 2.5L,24,2.5
Volvo C30 Fwd 2.5L,21,2.5
Volvo C70 Fwd 2.5L,19,2.5
Volvo S40 Fwd 2.5L,21,2.5
Volvo S60 Awd 3L,18,3.0
Volvo S80 Awd 3L,18,3.0
Volvo S80 Fwd 3.2L,19,3.2
Volvo V50 Fwd 2.5L,21,2.5
Volvo XC60 Awd 3.2L,18,3.2
Volvo XC60 Awd 3L,17,3.0
Volvo XC60 Fwd 3.2L,18,3.2
Volvo XC70 Awd 3.2L,18,3.2
Volvo XC70 Awd 3L,17,3.0
Volvo XC70 Fwd 3.2L,18,3.2
