Name,Cmpg,Hmpg,Eng,Cyl,Vol,Air,DNa,DSt,Drive,DFw,DRw,DAw,D4w,Class,DMc,DSc,DCo,DMi,DLa,DSw,DSu
Chevrolet Camaro 3.6L,18,29,3.6,6,1.04,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Chevrolet Camaro 6.2L,16,25,6.2,8,1.04,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Chevrolet Cruze 1.4L,24,36,1.4,4,1.10,TC,0,1,F,1,0,0,0,CO,0,0,1,0,0,0,0
Chevrolet Cruze 1.8L,22,35,1.8,4,1.10,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Chevrolet Cruze ECO 1.4L,26,37,1.4,4,1.10,TC,0,1,F,1,0,0,0,CO,0,0,1,0,0,0,0
Chevrolet Impala FFV 3.5L,19,29,3.5,6,1.24,N,1,0,F,1,0,0,0,LA,0,0,0,0,1,0,0
Chevrolet Impala FFV 3.9L,17,27,3.9,6,1.24,N,1,0,F,1,0,0,0,LA,0,0,0,0,1,0,0
Chevrolet Malibu 2.4L,22,33,2.4,4,1.11,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Chevrolet Malibu 3.6L,17,26,3.6,6,1.11,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Chevrolet Malibu FFV 2.4L,22,33,2.4,4,1.11,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Chrysler 200 2.4L,21,30,2.4,4,1.15,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Chrysler 200 Convertible 2.4L,20,29,2.4,4,1.01,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Chrysler 200 Convertible FFV 3.6L,19,29,3.6,6,1.01,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Chrysler 200 FFV 3.6L,19,29,3.6,6,1.15,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Chrysler 300 5.7L,16,25,5.7,8,1.22,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Chrysler 300 Awd 5.7L,15,23,5.7,8,1.22,N,1,0,A,0,0,1,0,LA,0,0,0,0,1,0,0
Chrysler 300 FFV 3.6L,18,27,3.6,6,1.22,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Dodge Avenger 2.4L,21,30,2.4,4,1.14,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Dodge Avenger FFV 3.6L,19,29,3.6,6,1.14,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Dodge Caliber 2.4L,22,27,2.4,4,1.12,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Dodge Caliber 2L,23,27,2.0,4,1.12,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Dodge Challenger 5.7L,16,25,5.7,8,1.07,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Dodge Challenger FFV 3.6L,18,27,3.6,6,1.07,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Dodge Challenger SRT8 6.4L,14,22,6.4,8,1.07,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Dodge Charger 5.7L,16,25,5.7,8,1.20,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Dodge Charger Awd 5.7L,15,23,5.7,8,1.20,N,1,0,A,0,0,1,0,LA,0,0,0,0,1,0,0
Dodge Charger FFV 3.6L,18,27,3.6,6,1.20,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Ford Crown Victoria FFV 4.6L,16,24,4.6,8,1.28,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Ford Fiesta Fwd 1.6L,29,38,1.6,4,0.97,N,1,0,F,1,0,0,0,SC,0,1,0,0,0,0,0
Ford Fiesta SFE Fwd 1.6L,29,40,1.6,4,0.97,N,1,0,F,1,0,0,0,SC,0,1,0,0,0,0,0
Ford Focus Fwd 2L,25,34,2.0,4,1.07,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Ford Fusion Awd 3.5L,17,24,3.5,6,1.16,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Ford Fusion Awd FFV 3L,18,26,3.0,6,1.17,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Ford Fusion Fwd 2.5L,23,33,2.5,4,1.16,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Ford Fusion Fwd 3.5L,18,27,3.5,6,1.16,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Ford Fusion Fwd FFV 3L,20,28,3.0,6,1.17,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Ford Mustang 3.7L,19,31,3.7,6,0.96,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Ford Mustang 5L,18,25,5.0,8,0.96,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Ford Mustang Convertible 3.7L,19,30,3.7,6,0.90,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Ford Taurus Awd 3.5L,17,25,3.5,6,1.22,N,1,0,A,0,0,1,0,LA,0,0,0,0,1,0,0
Ford Taurus Fwd 3.5L,18,28,3.5,6,1.22,N,1,0,F,1,0,0,0,LA,0,0,0,0,1,0,0
Honda Accord 2DR Coupe 2.4L,22,33,2.4,4,1.04,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Honda Accord 2DR Coupe 3.5L,19,29,3.5,6,1.04,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Honda Accord 4DR Sedan 2.4L,23,34,2.4,4,1.21,N,1,0,F,1,0,0,0,LA,0,0,0,0,1,0,0
Honda Accord 4DR Sedan 3.5L,20,30,3.5,6,1.21,N,1,0,F,1,0,0,0,LA,0,0,0,0,1,0,0
Honda Civic 1.8L,25,36,1.8,4,0.96,N,1,0,F,1,0,0,0,SC,0,1,0,0,0,0,0
Hyundai Accent 1.6L,27,36,1.6,4,1.04,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Hyundai Azera 3.3L,20,28,3.3,6,1.24,N,1,0,F,1,0,0,0,LA,0,0,0,0,1,0,0
Hyundai Azera 3.8L,19,27,3.8,6,1.24,N,1,0,F,1,0,0,0,LA,0,0,0,0,1,0,0
Hyundai Elantra 1.8L,29,40,1.8,4,1.11,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Hyundai Elantra Touring 2L,23,30,2.0,4,1.29,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Hyundai Equus 4.6L,16,24,4.6,8,1.27,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Hyundai Genesis 3.8L,18,27,3.8,6,1.25,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Hyundai Genesis 4.6L,17,25,4.6,8,1.25,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Hyundai Genesis Coupe 2L,20,30,2.0,4,0.99,TC,0,1,R,0,1,0,0,SC,0,1,0,0,0,0,0
Hyundai Genesis Coupe 3.8L,17,27,3.8,6,0.99,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Hyundai Sonata 2.4L,22,35,2.4,4,1.20,N,1,0,F,1,0,0,0,LA,0,0,0,0,1,0,0
Hyundai Sonata 2L,22,33,2.0,4,1.20,TC,0,1,F,1,0,0,0,LA,0,0,0,0,1,0,0
Infiniti EX35 3.5L,17,24,3.5,6,1.11,N,1,0,R,0,1,0,0,SW,0,0,0,0,0,1,0
Infiniti EX35 Awd 3.5L,17,24,3.5,6,1.11,N,1,0,A,0,0,1,0,SW,0,0,0,0,0,1,0
Infiniti G25 2.5L,20,29,2.5,6,1.13,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Infiniti G25x 2.5L,19,27,2.5,6,1.13,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Infiniti G37 Convertible 3.7L,17,25,3.7,6,0.88,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Infiniti G37 Coupe 3.7L,19,27,3.7,6,0.92,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Infiniti G37x Coupe 3.7L,18,25,3.7,6,0.92,N,1,0,A,0,0,1,0,SC,0,1,0,0,0,0,0
Infiniti M37 3.7L,18,26,3.7,6,1.19,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Infiniti M37X 3.7L,17,24,3.7,6,1.19,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Infiniti M56 5.6L,16,25,5.6,8,1.19,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Infiniti M56X 5.6L,16,23,5.6,8,1.19,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Jaguar XF 5L,16,23,5.0,8,1.13,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Jaguar XJ 5L,15,21,5.0,8,1.20,SC,0,1,R,0,1,0,0,LA,0,0,0,0,1,0,0
Jaguar XJ Long wheelbase 5L,15,22,5.0,8,1.20,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Jaguar XJ Short wheelbase 5L,16,23,5.0,8,1.20,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Jaguar XK 5L,16,24,5.0,8,0.84,N,1,0,R,0,1,0,0,MC,1,0,0,0,0,0,0
Jaguar XK Convertible 5L,16,22,5.0,8,0.84,N,1,0,R,0,1,0,0,MC,1,0,0,0,0,0,0
Kia Forte Koup 2.4L,23,31,2.4,4,1.02,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Kia Forte Koup 2L,25,34,2.0,4,1.02,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Kia Optima 2.4L,24,34,2.4,4,1.17,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Kia Optima 2L,22,34,2.0,4,1.17,TC,0,1,F,1,0,0,0,MI,0,0,0,1,0,0,0
Kia Rio 1.6L,27,36,1.6,4,1.04,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Kia Rondo 2.4L,20,27,2.4,4,1.40,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Kia Rondo 2.7L,18,26,2.7,6,1.40,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Kia SOUL 1.6L,26,31,1.6,4,1.26,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Kia SOUL 2L,24,30,2.0,4,1.26,N,1,0,F,1,0,0,0,SW,0,0,0,0,0,1,0
Lexus ES 350 3.5L,19,27,3.5,6,1.10,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Lexus GS 350 3.5L,19,26,3.5,6,1.11,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Lexus GS 350 Awd 3.5L,18,25,3.5,6,1.11,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Lexus GS 460 4.6L,17,24,4.6,8,1.11,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Lexus IS 250 250C 2.5L,21,30,2.5,6,0.88,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Lexus IS 250 Awd 2.5L,20,27,2.5,6,0.99,N,1,0,A,0,0,1,0,SC,0,1,0,0,0,0,0
Lexus IS 350 350C 3.5L,20,27,3.5,6,0.88,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Lexus IS 350 Awd 3.5L,18,25,3.5,6,0.99,N,1,0,A,0,0,1,0,SC,0,1,0,0,0,0,0
Lexus IS F 5L,16,23,5.0,8,0.99,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Lexus LS 460 4.6L,16,24,4.6,8,1.17,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Lexus LS 460 Awd 4.6L,16,23,4.6,8,1.17,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Lexus LS 460 L 4.6L,16,24,4.6,8,1.16,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Lexus LS 460 L Awd 4.6L,16,23,4.6,8,1.16,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Lincoln-Mercury Grand Marquis FFV 4.6L,16,24,4.6,8,1.28,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Lincoln-Mercury Milan Awd FFV 3L,18,26,3.0,6,1.16,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Lincoln-Mercury Milan Fwd 2.5L,23,33,2.5,4,1.16,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Lincoln-Mercury Milan Fwd FFV 3L,20,28,3.0,6,1.16,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Lincoln-Mercury MKS Awd 3.5L,17,25,3.5,6,1.23,TC,0,1,A,0,0,1,0,LA,0,0,0,0,1,0,0
Lincoln-Mercury MKS Awd 3.7L,16,23,3.7,6,1.23,N,1,0,A,0,0,1,0,LA,0,0,0,0,1,0,0
Lincoln-Mercury MKS Fwd 3.5L,17,24,3.5,6,1.23,N,1,0,F,1,0,0,0,LA,0,0,0,0,1,0,0
Lincoln-Mercury MKZ Awd 3.5L,17,24,3.5,6,1.15,N,1,0,4,0,0,0,1,MI,0,0,0,1,0,0,0
Lincoln-Mercury MKZ Fwd 3.5L,18,27,3.5,6,1.15,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Lincoln-Mercury Town Car FFV 4.6L,16,24,4.6,8,1.30,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Maserati Granturismo 4.2L,13,20,4.2,8,0.92,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Maserati Granturismo 4.7L,13,20,4.7,8,0.92,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Maserati Granturismo Convertible 4.7L,12,20,4.7,8,0.90,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Maserati Quattroporte 4.2L,12,20,4.2,8,1.29,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Maserati Quattroporte 4.7L,12,19,4.7,8,1.29,N,1,0,R,0,1,0,0,LA,0,0,0,0,1,0,0
Mazda 2 1.5L,27,33,1.5,4,1.00,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Mazda 3 2.5L,22,29,2.5,4,1.06,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Mazda 3 2L,24,33,2.0,4,1.06,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Mazda 6 2.5L,22,31,2.5,4,1.19,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Mazda 6 3.7L,18,27,3.7,6,1.19,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Mercedes C 300 3L,18,26,3.0,6,1.00,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Mercedes C 300 4matic 3.5L,17,24,3.5,6,1.00,N,1,0,4,0,0,0,1,CO,0,0,1,0,0,0,0
Mercedes C 300 4matic FFV 3L,18,25,3.0,6,1.00,N,1,0,4,0,0,0,1,CO,0,0,1,0,0,0,0
Mercedes C 300 FFV 3L,18,26,3.0,6,1.00,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Mercedes C 350 3.5L,17,25,3.5,6,1.00,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Mercedes C 63 AMG 6.2L,13,19,6.2,8,1.00,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Mercedes CLS 550 4.7L,14,21,4.7,8,1.06,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Mercedes CLS 63 AMG 6.3L,12,18,6.3,8,1.06,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Mercedes E 350 3.5L,17,24,3.5,6,1.11,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Mercedes E 350 4matic 3.5L,17,24,3.5,6,1.11,N,1,0,4,0,0,0,1,MI,0,0,0,1,0,0,0
Mercedes E 350 4matic Wagon 3.5L,16,23,3.5,6,1.36,N,1,0,4,0,0,0,1,SW,0,0,0,0,0,1,0
Mercedes E 350 Convertible 3.5L,17,25,3.5,6,0.86,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
