ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y1,Y2
24,4.73,4.48,4.98,5.46,3.91,5.32,4.66,5.09,4.41,23.83
25,4.99,5.43,4.39,5.40,5.58,5.03,4.48,3.13,5.14,26.68
26,6.36,4.78,4.94,5.77,4.26,3.87,6.18,5.14,5.89,26.46
27,4.79,5.27,7.13,4.77,4.81,7.56,5.01,5.05,4.27,27.58
28,4.68,5.53,5.54,4.48,3.31,4.16,3.80,3.48,4.06,23.57
29,5.70,2.38,5.94,5.40,3.26,4.64,4.81,5.03,5.68,23.54
30,4.02,4.64,6.16,3.82,4.48,3.89,2.96,7.02,7.24,24.49
31,5.00,5.24,5.92,4.19,5.39,4.30,3.99,3.78,5.22,24.83
32,6.06,5.12,5.48,5.00,5.49,4.73,4.90,4.55,6.62,28.46
33,3.62,5.87,5.19,5.56,5.47,4.18,5.09,6.32,4.83,25.25
34,4.72,3.44,6.12,5.19,5.37,6.49,5.11,6.49,4.50,24.11
35,4.22,4.84,4.45,4.96,4.36,4.75,7.19,5.04,3.49,23.66
36,4.69,5.29,5.14,4.11,5.43,4.88,4.45,5.55,4.84,25.65
37,3.86,5.41,5.59,4.99,5.99,5.77,5.56,5.32,5.25,25.86
38,6.15,6.40,6.76,5.89,5.43,4.44,3.65,5.87,4.38,31.99
39,6.35,3.84,6.01,4.57,5.51,6.45,6.58,4.77,5.76,25.35
40,3.78,5.56,5.39,4.85,4.58,6.33,5.70,4.92,3.80,23.67
41,4.97,5.23,4.24,4.68,5.28,4.87,4.11,4.58,3.92,24.66
42,5.40,5.04,5.74,6.51,5.34,4.61,4.18,4.14,5.01,27.84
43,5.03,6.52,4.14,5.41,6.93,5.59,4.70,5.78,4.31,28.38
44,5.41,4.86,5.33,5.90,6.02,5.09,3.89,3.90,5.75,27.97
45,5.13,4.53,4.95,5.14,5.66,3.80,5.20,4.55,6.21,26.84
46,4.68,3.50,5.25,5.39,5.31,5.37,6.10,3.00,4.17,24.78
47,5.83,5.33,4.41,2.55,5.12,6.30,5.00,6.00,2.76,22.43
48,5.07,1.94,6.17,4.00,5.39,5.62,3.45,5.08,3.07,23.31,
49,5.06,5.41,5.82,4.75,2.91,5.67,3.61,5.62,4.40,24.66,
50,5.31,5.49,4.35,5.41,5.05,6.49,5.16,4.95,5.09,25.17,
51,3.81,5.57,5.33,5.62,4.47,4.41,7.26,4.51,5.04,,25.42
52,2.61,4.23,5.34,5.42,5.16,4.24,5.60,4.13,3.12,,21.89
53,5.79,4.78,4.43,5.66,3.31,6.14,3.49,5.19,4.61,,25.18
54,6.08,3.83,5.00,5.73,5.95,5.16,4.93,3.63,5.31,,26.03
55,5.41,3.73,6.59,6.68,4.10,6.03,4.41,7.64,2.49,,26.64
56,4.03,3.23,5.92,4.92,5.39,4.50,4.96,5.31,5.27,,23.63
57,4.55,4.23,4.64,4.76,4.96,5.58,4.83,5.75,5.78,,23.46
58,7.35,4.49,5.35,5.10,5.41,4.61,5.39,4.35,7.08,,27.55
59,4.33,5.14,5.21,5.03,7.53,5.19,5.66,5.30,4.24,,27.79
60,4.51,5.73,6.85,5.67,4.40,3.75,4.69,4.71,7.12,,26.42
61,6.06,6.03,4.95,5.28,4.30,3.84,5.27,6.73,5.34,,26.83
62,5.97,4.54,3.42,5.28,5.46,4.58,5.19,5.08,6.03,,24.95
63,3.89,3.84,3.53,4.83,5.97,3.54,5.24,6.03,4.29,,22.03
64,6.76,5.76,5.55,6.07,5.04,5.79,5.99,4.88,6.49,,29.51
65,5.48,5.95,5.23,4.93,6.58,4.73,5.61,4.87,4.70,,27.69
66,4.34,3.54,6.06,6.65,3.17,5.28,6.25,3.90,5.52,,22.45
67,4.89,5.68,4.62,5.39,4.92,4.32,4.29,5.00,4.21,,26.46
68,6.14,4.90,3.56,4.46,3.78,6.28,4.06,5.38,6.44,,23.64
69,6.04,4.65,5.35,5.49,5.69,4.94,4.93,5.00,4.06,,27.64
70,2.87,5.34,5.81,3.86,5.13,4.30,4.14,6.33,6.36,,21.83
71,6.71,6.42,4.63,4.18,5.75,5.04,3.56,5.68,3.73,,28.15
72,4.56,3.60,5.70,4.93,4.96,4.23,4.24,5.42,5.45,,23.35
73,5.46,6.40,4.54,6.73,5.01,5.37,6.14,5.10,3.98,,28.56
74,4.92,6.18,4.79,3.75,7.17,6.28,3.93,4.81,4.32,,27.72
75,3.60,7.05,4.16,5.59,5.19,3.95,5.12,6.10,4.81,,25.43
76,5.87,5.56,6.73,5.44,4.27,5.88,4.25,4.80,4.43,,27.02
77,4.52,4.49,7.36,5.60,3.96,6.27,4.95,4.22,4.59,,25.17
78,4.10,5.97,4.70,4.25,6.27,6.05,3.87,6.02,7.25,,25.30
79,3.01,7.36,4.69,4.72,5.69,4.13,7.21,5.67,3.74,,25.69
80,5.76,3.13,4.69,3.49,4.79,5.68,5.74,5.18,4.73,,20.97
81,4.59,5.62,4.44,4.19,4.48,4.83,4.10,4.48,5.44,,24.16
82,4.17,3.80,6.58,4.88,3.66,4.85,4.55,4.66,2.48,,24.22
83,4.13,4.20,4.37,5.36,7.12,4.97,4.18,4.12,5.92,,24.01
84,2.96,4.96,4.63,6.61,5.31,5.19,4.97,3.71,6.34,,24.23
85,4.52,5.13,4.91,5.71,6.08,4.41,5.70,5.25,2.74,,25.76
86,3.04,4.70,6.89,4.82,6.55,4.42,3.38,4.46,5.72,,26.46
87,3.28,3.65,4.11,4.89,4.30,4.05,5.01,4.29,5.05,,20.10
88,5.37,4.40,4.08,4.55,4.15,3.24,5.24,4.70,5.27,,22.72
89,5.71,6.24,7.13,4.30,4.83,5.43,4.17,5.21,5.57,,27.77
90,4.44,5.07,3.94,3.67,4.62,4.92,5.41,5.32,5.86,,21.27
91,5.38,7.17,3.78,6.17,1.99,5.31,6.22,5.81,5.21,,25.81
92,6.68,4.56,3.85,6.17,3.25,6.79,5.16,5.69,5.51,,24.08
93,5.08,3.86,5.44,5.48,3.74,4.26,4.79,6.05,4.83,,23.03
94,5.74,4.22,5.27,4.80,3.85,5.46,5.94,5.07,3.76,,22.91
95,3.67,5.98,4.56,6.86,4.31,5.25,5.21,4.68,4.17,,25.31
96,3.96,6.55,7.28,5.32,5.57,6.37,3.86,4.98,6.38,,29.75
97,3.97,5.07,6.46,7.58,4.91,4.08,4.50,5.37,6.51,,28.22
98,4.77,4.27,5.49,5.79,4.61,5.96,5.70,4.93,5.73,,24.90
99,5.26,5.66,5.04,4.66,6.10,4.34,3.35,4.19,6.73,,27.21
100,3.74,4.56,3.85,3.74,5.52,5.04,5.59,5.02,5.87,,20.93
